@relation zoo

@attribute animal numeric
@attribute hair numeric
@attribute feathers numeric
@attribute eggs numeric
@attribute milk numeric
@attribute airborne numeric
@attribute aquatic numeric
@attribute predator numeric
@attribute toothed numeric
@attribute backbone numeric
@attribute breathes numeric
@attribute venomous numeric
@attribute fins numeric
@attribute legs numeric
@attribute tail numeric
@attribute domestic numeric
@attribute catsize numeric
@attribute type {mammal,fish,bird,invertebrate,insect,amphibian,reptile}

@data
67,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
68,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
69,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal
70,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
71,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
72,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
73,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,invertebrate
74,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
75,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal
76,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal
77,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
78,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,invertebrate
79,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
80,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
81,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
82,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrate
83,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
84,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
85,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal
86,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,invertebrate
87,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
88,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
89,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
90,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian
91,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
92,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
93,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
94,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
95,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
96,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
97,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal
98,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect
99,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrate
101,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
